Title,Latitude,Longitude,StateOrProvince,Parking Status,Usage Cost
David Street Car Park,-37.771645139851486,144.96173089792444,Victoria,Public - Membership Required,Free
RMIT Brunswick,-37.7716796666272,144.95818485880557,Victoria,Public - Membership Required,$0.30 per kWh
Moonee Ponds Central,-37.76583087874345,144.92352649174768,Victoria,Public,Free
BP Pulse Eastern Creek,-33.811041669720204,150.85030018744214,New South Wales,Public - Membership Required,$0.55/kWh
Cataract Gorge Basin Car Park,-41.44637646555024,147.12284889511938,Tasmania,Public - Membership Required,AUD 0.30 per kWh
Jackson Volkswagen,-41.45022658817194,147.14154103560344,Tasmania,Public - Membership Required,AUD 0.50 per kWh
Audi Centre Hobart,-42.87538883111667,147.32416098548657,Tasmania,Public - Membership Required,AUD 0.50 per kWh
Electric Highway Tasmania - Waratah,-41.4429562299098,145.52665769580165,Tasmania,Public - Membership Required,"0.25 per kWh + 0.15 per minute 9am - 6pm, 0.10 per minute other times"
Tas Hydro Power Station Heritage Site,-42.12462669442656,146.74664613345436,Tasmania,Public - Membership Required,Free
Hotel Bruny,-43.321799726979194,147.2422590158638,Tasmania,Public - Membership Required,"AUD 0.50 per kWh 7am - 10am/4pm-9pm, AUD 0.40 other times"
Tuggeranong CSCC,-35.41502698377792,149.06342879909937,Australian Capital Territory,Public - Membership Required,Pricing set to 40c per kWh of charging.
Murrumbateman Country Inn,-34.96941392055333,149.03001688933142,New South Wales,Public - Membership Required,Pricing set to 50c per kWh of charging.
Evie Adelaide Hills,-35.00971247867212,138.75901747075886,South Australia,Public - Membership Required,60c per kWh energy consumed.
Evie Woden,-35.348299676937806,149.08890913353355,Australian Capital Territory,Public - Membership Required,Pricing set to 40c per kWh of charging.
Hotel REalm,-35.312198318325976,149.1333088744247,Australian Capital Territory,Public - Membership Required,50c per kWh energy consumed.
Evie Dapto Mall,-34.49497612676224,150.79547723050382,New South Wales,Public - Membership Required,50c per kWh energy consumed.
Evie Mildura,-34.183567985291354,142.1585658445057,Victoria,Public - Membership Required,50c per kWh energy consumed.
Evie Wangaratta,-36.35361729522813,146.3252141757206,Victoria,Public - Membership Required,$0.45 per kWh
Evie Traralgon,-38.19562583791989,146.5329076841424,Victoria,Public - Membership Required,$0.45 per kWh
Evie Alexandra,-37.19177622193456,145.71117802098246,Victoria,Public - Membership Required,$0.45 per kWh
Evie Dunkeld,-37.65017530125832,142.34254760364854,Victoria,Public - Membership Required,$0.45 per kWh
Evie Camperdown,-38.230321252822165,143.1458213510811,Victoria,Public - Membership Required,$0.45 per kWh
Victoria Street,-37.42305178823792,144.562626054862,Victoria,Public - Membership Required,$0.45 per kWh
Evie Yarrawonga,-36.010175172605514,146.00330137579863,Victoria,Public - Membership Required,$0.45 per kWh. Parking overstay charges may apply
Evie Warracknabeal,-36.25068312709375,142.39379449793637,Victoria,Public - Membership Required,$0.45 per kWh
Evie Cohuna,-35.80838371437618,144.22123701963017,Victoria,Public - Membership Required,$0.40 per kWh
Evie Lakes Entrance,-37.88192619723392,147.97348946515365,Victoria,Public - Membership Required,$0.45 per kWh. Parking overstay charges may apply
Evie Meredith,-37.84437816290739,144.0768346824019,Victoria,Public - Membership Required,$0.45 per kWh
Evie Maffra,-37.96731873526982,146.97479206718913,Victoria,Public - Membership Required,$0.45 per kWh
Evie Flinders,-38.474526184383976,145.01862334358879,Victoria,Public - Membership Required,$0.45 per kWh
Kingston Town Shopping Centre,-42.980209156103385,147.30374043545635,Tasmania,Public - Membership Required,$0.45 per kWh
Evie Dartmoor,-37.92221290806473,141.27619651056017,Victoria,Public - Membership Required,$0.45 per kWh
Evie Kerang,-35.734343178074404,143.92168541640507,Victoria,Public - Membership Required,$0.40 per kWh. Idle fee $4 per hour
Local Village Carrum Downs,-38.088427053571266,145.1825268436774,Victoria,Public - Membership Required,$0.45 per kWh. Parking overstay charges may apply
Bayside Willansby Ave,-37.90610169777272,145.00363488616335,Victoria,Public - Membership Required,$0.45 per kWh
JET Charge Office,-37.82858393063794,144.93443851602245,Victoria,Public - Membership Required,AUD 0.60 per kWh
RMIT - City Campus,-37.80624795114712,144.96401596254236,Victoria,Public - Membership Required,AUD 0.30 per kWh
Hilton Coles,-32.06408827282525,115.78180730214649,Western Australia,Public,Free
City of Stonnington,-37.8558376330929,145.0295635713096,Victoria,Public - Membership Required,AUD 0.45 per kWh
ClydeStone Square,-38.09340993256419,145.34171416795755,Victoria,Public - Membership Required,AUD 0.40 per kWh
ENGIE - Bayside Centre,-38.13983274747568,145.12422212753893,Victoria,Public - Membership Required,AUD 0.45 per kWh
Creswick Vicitors Information Centre,-37.42256775700739,143.89407103114934,Victoria,Public - Membership Required,AUD 0.45 per kWh
Penguin Parade Car Park,-38.505470002342136,145.14849508723148,Victoria,Public - Membership Required,AUD 0.37 per kWh
Engie - The Glen,-37.87707026526765,145.16444504069057,Victoria,Public - Membership Required,AUD 0.45 per kWh
ENGIE - VIctoria Gardens,-37.81230000849669,145.01104431147348,Victoria,Public - Membership Required,AUD 0.54 per kWh (3pm-10am) AUD 0.37 per kWh (10am - 3pm)
Omeo - Tongio Road,-37.10120685500498,147.5913216311938,Victoria,Public - Membership Required,AUD 0.40 per kWh
Wine by Sam,-37.02797706541075,145.14294410402647,Victoria,Public - Membership Required,AUD 0.40 per kWh
Monash Caufield,-37.87609755140018,145.0437890823424,Victoria,Public - Membership Required,Free
Yackandandah Community Development Company,-36.31377673712394,146.838576031665,Victoria,Public - Membership Required,AUD 0.54 per kWh (3pm-10am) AUD 0.37 per kWh (10am - 3pm)
Evie - Bright,-36.72909821085958,146.9621075161064,Victoria,Public,$0.45 per kWh
Deni RSL,-35.535453,144.967298,New South Wales,Public,FREE
Ampol Melville ,-32.031412015833354,115.81520749424499,Western Australia,Public - Membership Required,$0.60 per kWh
Bunnings Tarneit,-37.83430858506595,144.69884313714417,,Public,Free
Evie Beaufort,-37.428865575035715,143.38285570096986,Victoria,Public - Membership Required,$0.45 per kWh. Parking overstay charges may apply
Chargefox Teachers Mutual Bank,-33.77239824531827,150.84348282464293,New South Wales,Public - Membership Required,Cost information not available
Ampol Derrimut,-37.80519464533884,144.75198926317552,Victoria,Public - Membership Required,$0.60/kWh for pay-as-you-go charging.
Ampol East Perth,-31.948662865419386,115.86948347276189,Western Australia,Public - Membership Required,$0.60 per kWh
Broome (WA EV Network),-17.970280524476166,122.23554864906441,Western Australia,Public,DC Charging $0.35 - $0.60 per kWh at all times.
Chatswood Chase Chargefox,-33.79511781061279,151.18644036778977,New South Wales,Public - Membership Required,$0.45/kWh
BP Pulse,-33.36290641211102,151.44446174596283,New South Wales,Public,$0.55/kwh
Exeter Supercharger,-34.60933240617118,150.22984763276781,New South Wales,Public - Membership Required,$0.66/kWh
EVIE Cameron Park,-32.8964286163983,151.59758681049271,New South Wales,Public - Membership Required,0.60c per kWh
Evie Lawson,-33.72070368975226,150.4297109802278,New South Wales,Public,$0.45 per kWh. 
Blaxland Supercharger,-33.74525300296909,150.61025805036633, NSW,Public - Membership Required,Supercharger rates
Campbelltown Supercharger,-34.07151792013103,150.80730085250025,New South Wales,Public - Membership Required,$0.66/kWh
NRMA Scone,-32.050443549876185,150.86657130895486,New South Wales,Public - Membership Required,FREE
NRMA Glen Innes,-29.738464518791687,151.7363027621517,New South Wales,Public - Membership Required,FREE
NRMA Inverell,-29.774658191367415,151.11461977623674,New South Wales,Public - Membership Required,FREE
Coles South Perth,-31.981184422636147,115.86248950002266,Western Australia,Public,Free
Whyalla Veterinary Clinic,-33.03010493946057,137.52930357434326,South Australia,Public - Membership Required,Cost information not available
Ampol Gosnells,-32.080050874907705,115.98798052330272,Western Australia,Public - Membership Required,$0.60/kWh for pay-as-you-go charging.
Westfield Carousel,-32.022177407350696,115.93916843857136,Western Australia,Public,Free
HomeCo Castle Hill,-33.72778176586396,150.976245622693,New South Wales,Public - Membership Required,$0.45 per kWh. Parking overstay charges may apply
Bairnsdale Chargefox,-37.82556535406092,147.62768829827212,Victoria,Public - Membership Required,AUD 0.40 per kWh
Tooleybuc Sporting Club,-34.729549625149865,143.19430431482874,New South Wales,Public - Membership Required,Cost information not available
Marnong Estate,-37.53036061112412,144.88047325188313,Victoria,Public,Cost information not available
diamond creek community bank stadium,-37.673614374174896,145.16604356699168,Victoria,Public - Membership Required,currently free
Little Walker Street,-28.865746474795223,153.04878848507587,New South Wales,Public,Cost information not available
Point Cook Town Centre,-37.88439995231257,144.73403564973228,Victoria,Public - Membership Required,Free
Technology Place,-32.80989381760532,151.8440351156935,New South Wales,"Private - For Staff, Visitors or Customers",Free
EHT - Sandy Bay,-42.903116,147.336466,Tasmania,Public - Membership Required,0.25c/kWh + 0.25c/min (peak)  [or 0.15c/min off-peak]
Subiaco One Chargefox,-31.946094566198234,115.82508951776464,Western Australia,Public,$0.30/KW
Electric Highway Tasmania - Oatlands,-42.29898,147.37111,Tasmania,Public - Membership Required,0.25c/kWh + 0.25c/min (peak)  [or 0.15c/min off-peak]
Evie Chelsea,-38.054822504708284,145.11600913546908,Victoria,Public,$0.40 per kWh. Parking overstay charges may apply
Scorseby Engie,-37.91344215822404,145.21852997218298,Victoria,Public - Membership Required,AUD 0.55 per kWh
Mornington Super Charger,-38.23466432711377,145.05094693515247,Victoria,Public - Membership Required,Cost information not available
Whitsunday Gold - Evie,-20.392030162735637,148.58120604948056,QueensLand,Public,0.60c per kWh
Tom Price DC Charger,-22.69369679043048,117.7962538370137,Western Australia,Public,Free
sgfleet,-35.3227262052871,149.1655969874277,Australian Capital Territory,Public - Membership Required,$0.30/kWh
Williams (WA EV Network),-33.030413391586315,116.87831212111337,Western Australia,Public,DC - $0.60 per kWh AC - $0.35 per kWh at all times
Orbost Chargefox,-37.70569202931135,148.45599196799412,Victoria,Public - Membership Required,AUD 0.40 per kWh
Marulan Roadhouse Northbound,-34.71913537033707,149.99575545222547,New South Wales,Public - Membership Required,$0.55/kWh 
Marulan Roadhouse Southbound,-34.71861069630692,150.0006732657858,New South Wales,Public - Membership Required,$0.55/kWh
Sally’s Corner,-34.607284700423534,150.22517362271452,New South Wales,Public - Membership Required,65c per kWh energy consumed.
Wollongong Central - Regent St Carpark,-34.423975432207065,150.8913817469645,New South Wales,Public - Membership Required,50c per kWh energy consumed.
Chargefox Yarram,-38.564408,146.67454,Victoria,Public - Membership Required,Payment Required $0.40 per kWh (at all times)
Bairnsdale,-37.823977,147.629556,Victoria,Public - Membership Required,$0.45 per kWh. Parking overstay charges may apply
Cann River Tesla Supercharger,-37.56520566869879,149.15198469249782,Victoria,Public - Membership Required,$0.69/kWh
Cann River Chargefox,-37.56512884994517,149.15194482214702,Victoria,Public - Membership Required,$0.40/kWh
JOLT Semaphore Rd,-34.839415,138.485548,SA ,Public - Membership Required,Cost information not available
Pelican Motor Inn,-36.88808965360204,149.90858747152606,New South Wales,Public - Pay At Location,$0.60 per kWh
TOCEVA Racing Biofill,-32.057442507764414,115.80080093030847,Western Australia,Public,$0.50 per kWh
Wellington Road,-27.489725503697883,153.03922171614113,QueensLand,Public,Free
Club Trillium,-37.56509713731276,144.89381606273855,Victoria,Public,Cost information not available
Stanthorpe Creek Street,-28.657101387379626,151.93269360729965,QueensLand,Public - Membership Required,$0.30/kWh
Eastern Creek Quarter,-33.78477823234724,150.8530576715741,New South Wales,Public - Membership Required,Free
Ellenbrook Home Co,-31.7772699,115.9641624,Western Australia,Public - Membership Required,$0.50 per kWh 
Malvern Central,-37.862429,145.027453,Victoria,Public - Membership Required,$0.40 per kWh. Parking overstay charges may apply
Swinburne University - TC Building,-37.820026,145.040303,Victoria,Public - Membership Required,Charging is free. Parking is free.
Coburg Town Hall / Moreland City,-37.74066654517114,144.96967301950258,Victoria,Public,Free
Kilmore Library,-37.294362,144.952084,Victoria,Public,$0.40 per kWh
Broadford Library,-37.20295,145.048954,Victoria,Public,$0.40 per kWh
BP pulse Diamond Creek,-37.680105,145.123078,Victoria,Public - Membership Required,55c/kWh
Yarra Ranges Council,-37.656879,145.374241,Victoria,Public - Membership Required,Payment Required $0.40 per kWh (at all times)
Red Rooster Vermont,-37.831965,145.213612,Victoria,Public - Membership Required,Payment Required $0.40 per kWh parking overstay charges may apply.
Stud Park Shopping Centre,-37.92131128415721,145.23754907301503,Victoria,Public,$0.40 per kWh. Parking overstay charges may apply
Lynbrook Village,-38.051153,145.256504,Victoria,Public - Membership Required,$0.40 per kWh. Parking overstay charges may apply
Cherrybrook Village,-33.721132,151.04396,New South Wales,Public,Free
Cherrybrook Village - Basement Carpark,-33.721132,151.04396,New South Wales,Public,Free
Bayside Gateway,-37.900527,145.00702,Victoria,Public - Membership Required,55c/kWh
BP Northpoint,-37.64768,144.99461,Victoria,Public - Membership Required,$0.60 per kWh. Parking overstay charges may apply
The Parade Ascot Vale Car Park,-37.772547,144.915133,Victoria,Public - Membership Required,$0.40 per kWh parking overstay charges may apply.
Middy’s Port Melbourne,-37.82819,144.925654,Victoria,Private - Restricted Access,$0.40 per kWh (at all times)
Hobsons Bay Civic Centre,-37.864138,144.829593,Victoria,Public,Free
Ampol Foodary Altona North,-37.846404,144.808531,Victoria,Public - Membership Required,$0.60/kWh for pay-as-you-go charging.
Keilor Central,-37.726166090249,144.80818393376683,Victoria,Public - Membership Required,$0.50 per kWh
Albury Waste Management Centre,-36.02883254187933,146.89667434814538,New South Wales,Public - Membership Required,$0.15 per kWh (at all times) on the Chargefox network
The Sebel Silverwoods Yarrawong,-36.002205,146.038649,Victoria,Public,$0.30 per kWh (at all times)
Tatura,-36.440274,145.226059,Victoria,Public - Membership Required,$0.40 per kWh (at all times)
High Street,-36.9986012995013,144.26096330721458,Victoria,Public - Membership Required,$0.40 per kWh. Parking overstay charges may apply
Inglewood Town Hall,-36.57583541143875,143.867659190687,Victoria,Public - Membership Required,$0.40 per kWh. Parking overstay charges may apply
CTR Wedderburn CV008,-36.41800912094073,143.61392370392582,Victoria,Public - Membership Required,"0.40/kWh + While parked, not charging: 4.00/hr after 60 mins"
Wycheproof,-36.07890184338928,143.226557251102,Victoria,Public - Membership Required,$0.40 per kWh. Parking overstay charges may apply
CTR Sea Lake,-35.50402,142.851666,Victoria,Public - Membership Required,Payment Required $0.40 per kWh parking overstay charges may apply.
Enfield Community Centre,-34.873034,138.609126,South Australia,Public - Membership Required,0.44 per kWh
CTR Swan Hill CV002,-35.337903,143.560657,Victoria,Public - Membership Required,Payment Required $0.40 per kWh parking overstay charges may apply.
CTR Robinvale CV003,-34.584523,142.774782,Victoria,Public,$0.40 per kWh. Parking overstay charges may apply
Oke Street,-35.071065,142.315244,Victoria,Public,$0.40 per kWh. Parking overstay charges may apply
Bendigo Art Gallery,-36.757619,144.276256,Victoria,Public - Membership Required,$0.40 per kWh. Parking overstay charges may apply
Castlemaine Market Building Car Park,-37.06657644547986,144.2177712521298,Victoria,Public - Membership Required,$0.40 per kWh parking overstay charges may apply.
High St Parking,-37.35582370879025,144.52881756976018,Victoria,Public - Membership Required,$0.40 per kWh. Parking overstay charges may apply
Cobblebank Stadium,-37.71519007650546,144.5996762637954,Victoria,Public,Free
Coles Supermarket Victor Harbor,-35.53437452488197,138.6368902187569,South Australia,Public,Free
Port Adelaide Plaza Shopping,-34.847827239879145,138.5066594793331,South Australia,Public - Membership Required,Payment Required $0.10 per kWh (12am - 6am) $1.00 per kWh (2pm - 8pm) $0.50 per kWh (at all other times)
Dawson St Parking Lot,-26.6500726120083,150.1870827550789,QueensLand,Public - Membership Required,$0.30/kWh
Gympie Road,-27.34180168016121,153.0107294767173,QueensLand,Public - Membership Required,$0.60/kWh
BP Caboolture Southbound,-27.124085965644262,152.9780074043885,QueensLand,Public - Membership Required,$0.55/kWh
BP Caboolture North,-27.123951870528913,152.97639020698597,QueensLand,Public - Membership Required,55c/kWh
Electric Highway - Barcaldine,-23.55413031338604,145.287299548286,QueensLand,Public - Membership Required,$0.30/kWh
Electric Highway - Blackall,-24.423890075921904,145.46191669895347,QueensLand,Public - Membership Required,$0.30/kWh
Cypress Street,-26.41429531288886,146.24102042781533,QueensLand,Public - Membership Required,$0.30/kWh
Standpipe Motel,-32.48044078394962,137.74961482243953,South Australia,"Private - For Staff, Visitors or Customers",Payment Required Charge to cover the cost of the electricity
Yankalilla Council Chambers,-35.457039,138.35117,South Australia,Public,
American River Campground,-35.78733355242528,137.77135310423705,South Australia,Public - Membership Required,Cost information not available
Kangaroo Island Airport ,-35.70877011906067,137.52325916672999,South Australia,Public - Membership Required,"Payment Required $2.80/hr, Min $4.20, Max $16.85"
Yorketown Playground,-35.017566,137.609652,South Australia,Public,
Young Street,-32.48888056535851,137.7628323665682,South Australia,"Private - For Staff, Visitors or Customers",
Marion Bay Caravan Park,-35.245411,136.977691,South Australia,"Private - For Staff, Visitors or Customers",Payment Required
Harry Butler Red Devil Memorial,-34.767943,137.597571,South Australia,Public,
Port Vincent Foreshore Caravan Park,-34.778476,137.863902,South Australia,"Private - For Staff, Visitors or Customers",
Ardrossan Town Hall,-34.422616,137.916796,South Australia,Public,
Transmutation Pty Ltd,-37.172487,139.75975,South Australia,Public - Membership Required,$0.32/kWh
Hastings,-38.30823,145.191932,Victoria,Public,Payment Required $0.45 per kWh
Rosebud RSL,-38.368575,144.905885,Victoria,Public,
Sorrento ,-38.33874299773124,144.73713563519414,Victoria,Public - Membership Required,"0.40/kWh + While parked, not charging: 4.00/hr after 60 mins"
Kingston Village Square,-38.24661134219002,144.54005635897056,Victoria,Public - Membership Required,Payment Required $0.25 per kWh (at all times)
Leisurelink Aquatic & Recreation Centre,-38.19749674302702,144.3210373885172,Victoria,Public - Membership Required,$0.45 per kWh
Newbridge Public Hall,-36.74044691742351,143.90011318487984,Victoria,Public - Membership Required,Payment Required $0.40 per kWh parking overstay charges may apply.
CTR Maryborough,-37.050846849191586,143.7414888704459,Victoria,Public - Membership Required,Payment Required $0.40 per kWh parking overstay charges may apply.
Kyneton,-37.246931,144.452169,Victoria,Public - Membership Required,Payment Required $0.40 per kWh parking overstay charges may apply.
Daylesford Town Hall,-37.342963,144.142175, VIC,Public - Membership Required,Payment Required $0.35 per kWh (at all times)
RACV Torquay Resort,-38.34015291155737,144.31105080946827,Victoria,Public - Membership Required,"Payment Required, Discount for NRMA/RACV members"
Anzac Ave Parking,-37.036818,141.296757,VIC ,Public - Membership Required,Payment Required $0.40/kWh
Shell Coles Express Warrenheip,-37.564139,143.934273,VIC ,Public - Membership Required,$0.60 per kWh. Parking overstay charges may apply
Rocland Nuriootpa,-34.460098,138.987775,South Australia,Public - Membership Required,Cost information not available
Foodland Pasadena Shopping Centre,-34.99987618391288,138.59160301217617,South Australia,Public - Membership Required,Cost information not available
Payneham Community Centre,-34.895659138641385,138.641422,South Australia,Public - Membership Required,Payment Required Free 7kW every 24 hrs - pay $0.44 per kWh after 7kW. Need the JOLT app
JOLT Portrush Road Reserve,-34.8971769233329,138.63857263884665,South Australia,Public - Membership Required,Payment Required Free 7kW every 24 hrs - pay $0.44 per kWh after 7kW. Need the JOLT app
Dunstone Grove,-34.91105195616476,138.62884136182117,South Australia,Public - Membership Required,Payment Required Free 7kW every 24 hrs - pay $0.42 per kWh after 7kW. Need the JOLT app
Osmond Terrace (Magill Rd Reserve) Parking,-34.91597917955596,138.63150307251476,South Australia,Public - Membership Required,Payment Required Free 7kW every 24 hrs - pay $0.42 per kWh after 7kW. Need the JOLT app
Webbe St Carpark,-34.92007383358501,138.63562438235135,South Australia,Public - Membership Required,50c per kWh energy consumed
Foodland Felixstow,-34.890016663252645,138.65439370244155,South Australia,Public - Membership Required,
Payneham Road,-34.88922847586827,138.65557887274917,South Australia,Public - Membership Required,50c per kWh energy consumed.
"EVIE, Madden Street North",-36.37766579345555,141.23821384253006,Victoria,Public - Membership Required,"0.45/kWh + While parked, not charging: 4.00/hr after 60 mins"
Paralowie Village Shopping Centre,-34.759095035307816,138.59552632382326,South Australia,Public - Membership Required,65c per kWh energy consumed.
Bembit Bagrook Community Centre,-37.82495081827982,144.6818834275545,Victoria,Public,Free
"McGrath Ev, Kia",-35.34916691861491,149.0851370518916,Australian Capital Territory,Public,$0.69/kWh
Electric Highway - Winton,-22.38702912605558,143.03147244666752,QueensLand,Public - Membership Required,$0.30/kWh
Shire of Denmark,-34.959490421958655,117.3662113269055,Western Australia,Public - Membership Required,Cost information not available
Denmark,-34.95943239021671,117.36526190064683,Western Australia,Public,0
Manjimup (WA EV Network),-34.241007903844505,116.14730165820424,Western Australia,Public - Membership Required,DC - $0.60 per kWh (at all times) AC - $0.35 per kWh (at all times)
Walpole (WA EV Network),-34.975686344871654,116.73200117323995,Western Australia,Public - Membership Required,Cost information not available
King Street,-20.704760286341156,140.50816104083208,QueensLand,Public - Membership Required,$0.30/kWh
Emu Street,-23.441757141064727,144.2476667046176,QueensLand,Public - Membership Required,$0.30/kWh
Electric Highway - Hughenden,-20.84258159434239,144.1999692028039,QueensLand,Public - Membership Required,$0.30/kWh
Electric Highway - Charters Towers,-20.065747289824046,146.26143583766293,QueensLand,Public - Membership Required,$0.30/kWh
Butler McDonalds,-31.638378110627542,115.6942988669141,Western Australia,Public,$0.60 per kWh
Batemans Bay Regional Arts Aquatic & Leisure Centre [NRMA],-35.70905218176475,150.17306021349532,New South Wales,Public - Membership Required,FREE
Equinox 4 Public Parking Garage,-35.3207206891817,149.0970239200201,Australian Capital Territory,Public,pay parking
Vibe Hotel,-35.309243894976746,149.1877257460651,Australian Capital Territory,Public - Membership Required,$0.50/kWh Parking is $10.40 per night for Vibe Hotel guests
Albany (WA EV Network),-35.02817640967042,117.88077174091336,Western Australia,Public,DC Charging $0.60 per kWh at all times.
Albany Tesla Supercharger,-35.02798743189805,117.88063967238838,Western Australia,Public - Membership Required,69c / KwH
ECQ XL,-33.78758418286377,150.854268328623,New South Wales,Public,Free
East Fremantle Town Hall,-32.04133321797954,115.76269085240256,Western Australia,Public - Membership Required,$0.00
Foodworks Baranduda,-36.17927,146.947538,Victoria,Public - Membership Required,$0.23/kWh
St Huberts Winery,-37.69718697137555,145.40782508992731,Victoria,Public - Membership Required,$0.31/kWh
Lorbek Luxury Cars,-37.821362270898675,144.95148061129817,Victoria,Public - Membership Required,$0.31/kWh
GET Electric Head Office,-37.83334808033666,144.92004965602666,Victoria,Public - Membership Required,$0.24/kWh
James Street,-33.860051334649285,121.8935609361323,Western Australia,Public,Cost information not available
Comfort Inn (2),-33.85818474495122,121.89569874021731,Western Australia,Public,See reception for details
Comfort Inn (1),-33.85897265526918,121.89565269882087,Western Australia,Public,See reception for details
Mandurah Tesla Supercharger,-32.55756151687578,115.78712758765778,Western Australia,Public - Membership Required,$0.68 per kWh
Kojonup (WA EV Network),-33.837605443751286,117.15774179333812,Western Australia,Public,"$0.60 per kWh DC, $0.35 per kWh AC"
Norseman (WA EV Network),-32.19598191392299,121.78059471864492,Western Australia,Public - Membership Required,"$0.60 per kWh fast DC, $0.35 per kWh slow AC."
Coolgardie (WA EV Network),-30.9542773451427,121.16115158011917,Western Australia,Public - Membership Required,$0.35-$0.60c/kWh
Northam (WA EV Network),-31.652188287787432,116.67192230862833,Western Australia,Public - Membership Required,Cost information not available
Halls Creek (WA EV Network),-18.224880864839363,127.66769723564244,Western Australia,Public - Membership Required,"$0.60 per kWh high power DC, $0.35 per kWh low power AC."
Fitzroy Crossing (WA EV Network),-18.17857664420802,125.5681911723807,Western Australia,Public - Membership Required,Cost information not available
Derby (WA EV Network),-17.305233762820208,123.6307580058915,Western Australia,Public - Membership Required,Cost information not available
Northampton (WA EV Network),-28.351800700760847,114.63081886035513,Western Australia,Public,DC Charging - $0.60 per kWh at all times
Kalbarri (WA EV Network),-27.709188634154067,114.16688703445095,Western Australia,Public - Membership Required,"$0.60 per Kwh for DC, $0.35 per Kwh for AC"
Jurien Bay (WA EV Network),-30.302737554400878,115.04237900347908,Western Australia,Public - Membership Required,Cost information not available
Lancelin (WA EV Network),-31.020608259818943,115.33250387085991,Western Australia,Public,Cost information not available
Esperance (WA EV Network),-33.859972746355844,121.89351465054966,Western Australia,Public - Membership Required,Cost information not available
Geraldton (WA EV Network),-28.776305200123794,114.60373018998598,Western Australia,Public,DC Charging $0.60 per kWh at all times. 
Southern Cross (WA EV Network),-31.23361756851189,119.3286940112805,Western Australia,Public - Membership Required,"Fast DC charging $0.60 per kWh, slow AC charging $0.35 per kWh (at all times)."
Genr8,-41.23530922492269,146.40838662467104,Tasmania ,Privately Owned - Notice Required,Free
Alexander Motel,-33.034535660079776,137.56252926357524,South Australia,Public - Pay At Location,$25 if not booking a room
Poochera Hotel,-32.71933272913009,134.8371008807062,South Australia,Public,Variable
Hein Engineering and Auto Repairs,-32.800432285415354,134.22070659032465,South Australia,Public - Membership Required,Cost information not available
Ceduna East West Motel,-32.1229317030085,133.68472803849068,South Australia,Public,"$25.00 per fill, $12.50 if staying overnight."
Penong Caravan Park,-31.924999368627006,133.01048351419365,South Australia,Public,$0.60 per kWh plus $10 service fee if not overnighting.
Coles Rochedale,-27.577966461570426,153.11287183851232,QueensLand,Public - Membership Required,Recently changed from free to AU$0.40 / kWh
Karrinyup Shopping Mall,-31.876481125533687,115.77953901268904,Western Australia,Public,Cost information not available
Karrinup Shopping Mall,-31.876137033718443,115.7797782854434,Western Australia,Public - Membership Required,$0.40
Mineral Resources Park,-31.973892958483617,115.90811556642495,Western Australia,Public - Membership Required,$0.50 per kWh
Sodexo,-31.863212794659802,115.8219952419322,Western Australia,Public - Membership Required,"$0.00 from 10:00 to 14:00, $0.20 all other times. "
Sportsground No.2 [Chargefox],-32.93024368595305,151.76074272098833,New South Wales,Public - Membership Required,Free
University of Newcastle P4 [Chargefox],-32.891834966143726,151.70194995124893,New South Wales,Public - Membership Required,Free
University of Newcastle P6 [Chargefox],-32.89552323686248,151.7041509780654,New South Wales,Public - Membership Required,Free
Mundaring Mall,-31.901205462212232,116.16524447173379,Western Australia,Public,Cost information not available
Pimpama Sports Hub [Chargefox],-27.82474804589667,153.29197672212968,QueensLand,Public - Membership Required,$0.30/kWh
Beaufort Street Center,-31.935506742564613,115.87076797296731,Western Australia,Public - Membership Required,Cost information not available
Springfield QESH,-27.68211786380263,152.8997425219154,QueensLand,Public - Membership Required,$0.30 per kWh
QESH Lawes (Gatton),-27.551262926011873,152.33494320232535,QueensLand,Public - Membership Required,$0.30 per kWh
Charlton QESH,-27.520004970190683,151.84936614835385,QueensLand,Public, $0.30 per kWh
Bayside Council,-37.95937215569076,145.01794753966965,Victoria,Public - Membership Required,0.30c/kWh
Marrickville Metro,-33.90782667980605,151.17114538375472,New South Wales,Public - Membership Required,
The Esplanade Hotel,-32.0575550674627,115.74617563567773,Western Australia,Public,Free
RAC Monkey Mia Dolphin Resort,-25.79404118331594,113.7174661005642,Western Australia,Public - Membership Required,$0.45 per kWh
Mona Vale library carpark [JOLT],-33.67610252225354,151.3038961163004,New South Wales,Public - Membership Required,"First 7kWh free, then $0.46 per kWh thereafter. $5/hr idle time"
Ampol Belmont,-31.937804124448533,115.93314661815691,Western Australia,Public - Membership Required,$0.60 per kWh
Stanley St Peakhurst NSW,-33.961219,151.065897,New South Wales,Public - Pay At Location,0.40
Milton's Kimba,-33.13983180286926,136.41923144109342,South Australia,Privately Owned - Notice Required,Cost information not available
Fremantle City Destination Charger,-32.058358281940116,115.74683696655552,Western Australia,Public,Cost information not available
NRMA Coonabarabran,-31.27869905611398,149.27917607446443,New South Wales,Public - Membership Required,FREE
NRMA Young,-34.31187081704267,148.29509758416702,New South Wales,Public,60c / 54c for members
NRMA Mudgee,-32.59363440480615,149.58620557294023,New South Wales,Public,60c / 54c for NRMA Members
NRMA Parkes,-33.13740733634146,148.1726837200183,New South Wales,Public - Membership Required,FREE
NRMA Dubbo,-32.24930688696245,148.60934084946052,New South Wales,Public - Membership Required,FREE
