Charger Name,Address,City,State,Postal Code,Power (kW),Usage Cost,Number of Points,Connection Types
Evie Hamilton,Scoresby Street,Hamilton,VIC,,"50, 50",,2.0,"33, 2"
Tesla Supercharger Albury,Stanley Street,Albury,New South Wales,2640,250,$0.69/kWh,12.0,33
Albury Waste Management Centre,565 Mudge St,Hamilton Valley,New South Wales,2641,"50, 50",$0.15 per kWh (at all times) on the Chargefox network,1.0,"2, 33"
Wuality Resort Siesta,422 Wagga Road,Lavington,New South Wales,2641,"7, 7, 7, 7",Free,4.0,"25, 25, 25, 25"
Evie Lakes Entrance,2 Marine Pde,Lakes Entrance,VIC,3909,"50, 50",$0.45 per kWh. Parking overstay charges may apply,1.0,"33, 2"
Lakes Entrance RSL,221 The Esplanade,Lakes Entrance,Victoria,3909,22,30c/kWh,1.0,25
RACV - Horsham,126 Baillie St,Horsham,Victoria,3400,"350, 50, 350, 50",,4.0,"33, 33, 2, 2"
Horsham Supercharger,126 Wilson St,Horsham,,3400,250,AUD 0.42/kWh;other tariffs for older cars,3.0,33
NRMA Jerilderie,Powell Street,Jerilderie,New South Wales,2716,"50, 50",FREE,1.0,"33, 2"
Evie Warracknabeal,18 - 20 Woolcock Street,Warracknabeal,VIC,3393,"50, 50",$0.45 per kWh,1.0,"33, 2"
Evie Portland,Henty Street,Portland,VIC,,"50, 50",,2.0,"33, 2"
Lochiel Street,Lochiel Street,Dimboola,Victoria,3414,22,,1.0,25
CTR Swan Hill CV002,135 Curlewis Street,Swan Hill,Victoria,3585,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,2.0,"33, 2"
Orbost Chargefox,Wolseley Street,Orbost,Victoria,,"50, 50",AUD 0.40 per kWh,1.0,"33, 2"
Tesla Supercharger Holbrook,Swift Street,Holbrook,New South Wales,2644,250,$0.69 / kWh,1.0,33
Holbrook [NRMA],Submarine Park,Holbrook,NSW,,"50, 50",,1.0,"33, 2"
CTR Sea Lake,111 Best Street,Sea Lake,Victoria,3533,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,2.0,"2, 33"
Evie Dartmoor,73 Greenham St,Dartmoor,VIC,3304,"50, 50",$0.45 per kWh,1.0,"33, 2"
Anzac Ave Parking,12 Anzac Ave,Edenhope ,VIC ,3318,"50, 50",Payment Required $0.40/kWh,1.0,"33, 2"
Nelson St Parking/Charging,111 Nelson St,Nhill,Victoria,3418,22,Free,2.0,25
Snowy River Ave Car Park,3 Snowy River Ave,Jindabyne,NSW,2627,"50, 50",Chargers free of charge for now but will require you to be a member in the future or you will need to pay per charge.,2.0,"33, 2"
