selected_ev,distance_km,electricity_price_per_kwh,ice_eff_l_per_100km,petrol_price_per_l,ev_trip_cost,ice_trip_cost,savings_ice_minus_ev,ev_co2_kg,ice_co2_kg,co2_saved_kg,state_elec,state_petrol,notes
Kia EV6 GT,150.0,0.1,7.92,0.01,2.25,0.12,-2.13,15.75,27.44,11.69,WA,NT,
BYD DOLPHIN Dynamic,100.0,0.6,9.97,189.74,9.0,1891.71,1882.71,10.5,23.03,12.53,WA,WA,
Mercedes-Benz EQS SUV EQS 450 4MATIC SUV,500.0,0.1,7.71,2.05,7.5,79.03,71.53,52.5,89.05,36.55,WA,WA,
GWM Ora Standard Range,250.0,0.07,9.24,89.99,2.63,2078.77,2076.14,26.25,53.36,27.11,VIC,NSW,
Audi Q8 Q8 e-tron quattro,400.0,0.415,2018.0,89.99,24.9,726399.28,726374.38,42.0,18646.32,18604.32,QLD,VIC,ICE fetch failed; manual entry path simulated
Ford Mach-E Select LFP RWD,200.0,0.436,5.79,189.74,13.08,2197.19,2184.11,21.0,26.75,5.75,VIC,NT,
GWM Ora Extended Range,300.0,0.1,10.25,1.99,4.5,61.19,56.69,31.5,71.03,39.53,VIC,NSW,
"Cupra Born 77kWh 4 seat (20 Alloys)""",300.0,0.1,9.0,0.01,4.5,0.27,-4.23,31.5,62.37,30.87,VIC,SA,
MG MG4 77kWh EV RWD,200.0,0.6,8.18,1.99,18.0,32.56,14.56,21.0,37.79,16.79,NT,SA,
Lexus UX 300e,150.0,0.418,8.3,2.13,9.4,26.52,17.11,15.75,28.76,13.01,QLD,ACT,
Volvo XC40 Recharge Twin,250.0,0.273,7.2,0.01,10.24,0.18,-10.06,26.25,41.58,15.33,WA,WA,ICE fetch failed; manual entry path simulated
Volvo XC40 Recharge Twin,100.0,0.07,9.26,1.85,1.05,17.13,16.08,10.5,21.39,10.89,TAS,VIC,
Peugeot Partner  ePARTNER PRO LONG,300.0,0.1,2018.0,2.0,4.5,12108.0,12103.5,31.5,13984.74,13953.24,ACT,SA,ICE fetch failed; manual entry path simulated
Lexus UX 300e,300.0,0.6,9.05,189.74,27.0,5151.44,5124.44,31.5,62.72,31.22,ACT,TAS,ICE fetch failed; manual entry path simulated
BMW X1 iX1 xDrive30,500.0,0.1,9.55,2.19,7.5,104.57,97.07,52.5,110.3,57.8,WA,ACT,
BYD DOLPHIN PERFORMANCE,150.0,0.1,11.07,189.74,2.25,3150.63,3148.38,15.75,38.36,22.61,NT,TAS,
GWM Ora Extended Range,250.0,0.368,9.65,1.88,13.8,45.35,31.55,26.25,55.73,29.48,SA,ACT,
Rolls-Royce Spectre Coupe,150.0,0.325,7.73,2.27,7.31,26.32,19.01,15.75,26.78,11.03,TAS,NSW,ICE fetch failed; manual entry path simulated
BYD SEAL PREMIUM,300.0,0.309,6.83,0.01,13.9,0.2,-13.7,31.5,47.33,15.83,NT,TAS,
BMW 5 Series i5 eDrive40,100.0,0.1,8.02,189.74,1.5,1521.71,1520.21,10.5,18.53,8.03,NSW,VIC,ICE fetch failed; manual entry path simulated
BMW 5 Series i5 eDrive40,200.0,0.262,50.0,1.95,7.86,195.0,187.14,21.0,231.0,210.0,QLD,TAS,ICE fetch failed; manual entry path simulated
Cupra Born Born 77kWh 5 seat,250.0,0.1,9.51,2.12,3.75,50.4,46.65,26.25,54.92,28.67,ACT,WA,
Lexus RZ 450e,400.0,0.233,10.49,0.01,13.98,0.42,-13.56,42.0,96.93,54.93,SA,SA,
Tesla Model 3 RWD H6LRB,100.0,0.345,8.8,2.02,5.17,17.78,12.6,10.5,20.33,9.83,NT,SA,
Lexus RZ 450e,300.0,0.6,0.5,2.22,27.0,3.33,-23.67,31.5,3.46,-28.03,SA,NSW,ICE fetch failed; manual entry path simulated
GWM Ora Extended Range GT,200.0,0.329,8.63,0.01,9.87,0.17,-9.7,21.0,39.87,18.87,QLD,WA,
Volvo XC40 Recharge,250.0,0.337,8.26,2.33,12.64,48.11,35.48,26.25,47.7,21.45,NSW,VIC,
MG MG4 77kWh EV RWD,100.0,0.36,10.39,189.74,5.4,1971.4,1966.0,10.5,24.0,13.5,VIC,QLD,
Lexus UX 300e,100.0,0.07,7.52,1.74,1.05,13.08,12.03,10.5,17.37,6.87,TAS,TAS,
Peugeot 2008 e2008 GT,300.0,0.07,7.33,1.97,3.15,43.32,40.17,31.5,50.8,19.3,WA,VIC,
BYD DOLPHIN Dynamic,500.0,0.308,7.51,189.74,23.1,7124.74,7101.64,52.5,86.74,34.24,NT,SA,
Ford Mach-E Premium 4P AWD,200.0,0.07,6.17,2.12,2.1,26.16,24.06,21.0,28.51,7.51,TAS,SA,
MG ZS EV 72kWh,100.0,0.1,6.79,1.91,1.5,12.97,11.47,10.5,15.68,5.18,TAS,SA,ICE fetch failed; manual entry path simulated
Lexus UX 300e,250.0,0.1,9.78,0.01,3.75,0.24,-3.51,26.25,56.48,30.23,TAS,NSW,
Volvo XC40 Recharge,250.0,0.07,9.94,89.99,2.63,2236.25,2233.63,26.25,57.4,31.15,TAS,NSW,
Kia EV6 GT,100.0,0.362,9.29,2.35,5.43,21.83,16.4,10.5,21.46,10.96,QLD,QLD,
"Cupra Born 77kWh 4 seat (20 Alloys)""",500.0,0.6,7.09,2.06,45.0,73.03,28.03,52.5,81.89,29.39,WA,QLD,
Cupra Born Born 77kWh 5 seat,250.0,0.1,8.69,189.74,3.75,4122.1,4118.35,26.25,50.18,23.93,TAS,NSW,
Tesla Model 3 RWD H6LRB,250.0,0.07,10.24,89.99,2.63,2303.74,2301.12,26.25,59.14,32.89,QLD,TAS,
Mercedes-Benz EQS SUV EQS 450 4MATIC SUV,400.0,0.302,8.86,189.74,18.12,6724.39,6706.27,42.0,81.87,39.87,NT,WA,
Ford Mach-E Premium 4P AWD,200.0,0.286,7.85,189.74,8.58,2978.92,2970.34,21.0,36.27,15.27,SA,TAS,
Peugeot Partner  ePARTNER PRO LONG,400.0,0.382,50.0,89.99,22.92,17998.0,17975.08,42.0,462.0,420.0,SA,WA,ICE fetch failed; manual entry path simulated
Tesla Model 3 RWD H6LRB,300.0,0.273,9.16,1.92,12.29,52.76,40.48,31.5,63.48,31.98,SA,WA,
Ford Mach-E Select LFP RWD,300.0,0.361,999.0,189.74,16.25,568650.78,568634.54,31.5,6923.07,6891.57,VIC,VIC,ICE fetch failed; manual entry path simulated
MG MG4 51kWh EV RWD ,100.0,0.07,7.51,1.8,1.05,13.52,12.47,10.5,17.35,6.85,ACT,NT,
GWM Ora Extended Range GT,100.0,0.322,8.23,1.76,4.83,14.48,9.65,10.5,19.01,8.51,WA,ACT,
Kia EV6 GT,500.0,0.6,8.12,189.74,45.0,7703.44,7658.44,52.5,93.79,41.29,VIC,NT,
Rolls-Royce Spectre Coupe,200.0,0.6,999.0,89.99,18.0,179800.02,179782.02,21.0,4615.38,4594.38,NSW,NSW,ICE fetch failed; manual entry path simulated
Mercedes-Benz EQE Class EQE 350 4MATIC,200.0,0.6,8.78,89.99,18.0,1580.22,1562.22,21.0,40.56,19.56,WA,TAS,
Volvo C40 Recharge Twin,100.0,0.336,8.19,1.99,5.04,16.3,11.26,10.5,18.92,8.42,VIC,VIC,
MG ZS EV 72kWh,300.0,0.07,9.23,0.01,3.15,0.28,-2.87,31.5,63.96,32.46,SA,NT,
Ford Mach-E Select LFP RWD,400.0,0.6,8.57,189.74,36.0,6504.29,6468.29,42.0,79.19,37.19,ACT,ACT,
Volvo XC40 Recharge,500.0,0.37,8.42,1.82,27.75,76.62,48.87,52.5,97.25,44.75,QLD,SA,
Lexus RZ 450e,300.0,0.357,8.35,1.84,16.06,46.09,30.03,31.5,57.87,26.37,SA,QLD,
Mercedes-Benz EQS SUV EQS 450 4MATIC SUV,500.0,0.378,10.49,0.01,28.35,0.52,-27.83,52.5,121.16,68.66,WA,VIC,
Ford Mach-E Premium 4P RWD,100.0,0.322,2018.0,1.77,4.83,3571.86,3567.03,10.5,4661.58,4651.08,VIC,WA,ICE fetch failed; manual entry path simulated
Audi Q8 Q8 e-tron quattro Sportback,250.0,0.6,7.9,189.74,22.5,3747.37,3724.87,26.25,45.62,19.37,WA,SA,
BMW 5 Series i5 M60 xDrive,400.0,0.1,8.37,1.89,6.0,63.28,57.28,42.0,77.34,35.34,TAS,VIC,
Audi Q8 Q8 e-tron quattro Sportback,100.0,0.6,11.07,89.99,9.0,996.19,987.19,10.5,25.57,15.07,WA,WA,
Volvo C40 Recharge Twin,500.0,0.6,8.65,1.91,45.0,82.61,37.61,52.5,99.91,47.41,QLD,ACT,
"Cupra Born 77kWh 4 seat (20 Alloys)""",100.0,0.1,6.74,2.2,1.5,14.83,13.33,10.5,15.57,5.07,QLD,TAS,
GWM Ora Standard Range,400.0,0.07,9.38,2.14,4.2,80.29,76.09,42.0,86.67,44.67,SA,TAS,
Mercedes-Benz EQE SUV EQE 350 4MATIC SUV ,300.0,0.1,9.21,189.74,4.5,5242.52,5238.02,31.5,63.83,32.33,VIC,QLD,
MG ZS EV 72kWh,300.0,0.07,8.07,0.01,3.15,0.24,-2.91,31.5,55.93,24.43,NSW,TAS,
Volvo XC40 Recharge,300.0,0.337,9.27,89.99,15.17,2502.62,2487.46,31.5,64.24,32.74,NSW,TAS,
Audi Q8 Q8 e-tron quattro Sportback,300.0,0.289,9.16,189.74,13.0,5214.06,5201.05,31.5,63.48,31.98,NSW,ACT,
Peugeot Partner  ePARTNER PRO LONG,100.0,0.417,8.89,0.01,6.25,0.09,-6.17,10.5,20.54,10.04,WA,TAS,
MG ZS EV 72kWh,250.0,0.345,8.82,2.15,12.94,47.41,34.47,26.25,50.94,24.69,NT,TAS,
Kia EV6 GT,500.0,0.07,6.63,2.17,5.25,71.94,66.69,52.5,76.58,24.08,TAS,SA,
Fiat 500e FWD 87 kW 42 kWh,250.0,0.282,8.5,89.99,10.57,1912.29,1901.71,26.25,49.09,22.84,VIC,QLD,
Rolls-Royce Spectre Coupe,100.0,0.07,8.66,2.17,1.05,18.79,17.74,10.5,20.0,9.5,ACT,QLD,
BYD DOLPHIN PERFORMANCE,200.0,0.311,8.29,1.84,9.33,30.51,21.18,21.0,38.3,17.3,TAS,SA,
Volvo C40 Recharge Twin,250.0,0.07,8.21,1.82,2.63,37.36,34.73,26.25,47.41,21.16,VIC,TAS,
Volvo C40 Recharge,400.0,0.07,11.47,0.01,4.2,0.46,-3.74,42.0,105.98,63.98,TAS,VIC,
Lexus RZ 450e,250.0,0.285,10.63,0.01,10.69,0.27,-10.42,26.25,61.39,35.14,ACT,WA,
GWM Ora Extended Range,150.0,0.07,8.33,2.11,1.58,26.36,24.79,15.75,28.86,13.11,QLD,ACT,ICE fetch failed; manual entry path simulated
GWM Ora Extended Range GT,100.0,0.352,7.78,1.93,5.28,15.02,9.74,10.5,17.97,7.47,SA,NSW,
Mercedes-Benz EQE 53 AMG 4MATIC+,100.0,0.275,8.91,0.01,4.12,0.09,-4.04,10.5,20.58,10.08,SA,QLD,
Tesla Model 3 Long Range H5LDB,500.0,0.407,10.87,189.74,30.52,10312.37,10281.84,52.5,125.55,73.05,QLD,SA,
GWM Ora Extended Range,500.0,0.6,8.42,2.0,45.0,84.2,39.2,52.5,97.25,44.75,WA,NSW,
Tesla Model 3 Long Range H5LDB,250.0,0.07,10.22,1.83,2.63,46.76,44.13,26.25,59.02,32.77,WA,QLD,
BYD DOLPHIN Dynamic,400.0,0.312,10.06,189.74,18.72,7635.14,7616.42,42.0,92.95,50.95,ACT,WA,
Audi Q8 Q8 e-tron quattro Sportback,500.0,0.1,8.16,189.74,7.5,7741.39,7733.89,52.5,94.25,41.75,SA,VIC,
Kia EV6 GT,300.0,0.6,7.35,189.74,27.0,4183.77,4156.77,31.5,50.94,19.44,NT,SA,
Volvo XC40 Recharge Twin,250.0,0.237,2018.0,2.09,8.89,10544.05,10535.16,26.25,11653.95,11627.7,TAS,NT,ICE fetch failed; manual entry path simulated
Mercedes-Benz EQE 300,400.0,0.1,8.89,0.01,6.0,0.36,-5.64,42.0,82.14,40.14,NSW,NSW,
Volvo XC40 Recharge,500.0,0.303,6.96,189.74,22.72,6602.95,6580.23,52.5,80.39,27.89,NSW,QLD,
Ford Mach-E Select LFP RWD,250.0,0.26,10.52,189.74,9.75,4990.16,4980.41,26.25,60.75,34.5,VIC,TAS,
Fiat 500e FWD 87 kW 42 kWh,300.0,0.6,7.86,189.74,27.0,4474.07,4447.07,31.5,54.47,22.97,NT,SA,
Rolls-Royce Spectre Coupe,150.0,0.6,8.23,189.74,13.5,2342.34,2328.84,15.75,28.52,12.77,ACT,SA,
Tesla Model 3 Long Range H5LDB,100.0,0.07,10.51,1.9,1.05,19.97,18.92,10.5,24.28,13.78,QLD,ACT,
"Cupra Born 77kWh 4 seat (19 Alloys)""",150.0,0.39,9.13,89.99,8.78,1232.41,1223.64,15.75,31.64,15.89,QLD,NT,
Tesla Model 3 RWD H6LRB,250.0,0.354,8.93,2.18,13.27,48.67,35.39,26.25,51.57,25.32,TAS,VIC,
Volvo C40 Recharge Twin,400.0,0.275,0.5,2.2,16.5,4.4,-12.1,42.0,4.62,-37.38,ACT,NSW,ICE fetch failed; manual entry path simulated
GWM Ora Standard Range,250.0,0.348,7.39,2.1,13.05,38.8,25.75,26.25,42.68,16.43,SA,TAS,
GWM Ora Extended Range GT,400.0,0.6,8.13,189.74,36.0,6170.34,6134.34,42.0,75.12,33.12,QLD,NT,
MG MG4 64kWh EV RWD ,150.0,0.6,5.9,189.74,13.5,1679.2,1665.7,15.75,20.44,4.69,SA,WA,
Rolls-Royce Spectre Coupe,100.0,0.322,9.47,89.99,4.83,852.21,847.38,10.5,21.88,11.38,SA,VIC,
Volvo C40 Recharge Twin,500.0,0.369,7.68,2.09,27.68,80.26,52.58,52.5,88.7,36.2,ACT,VIC,
"Cupra Born 77kWh 4 seat (19 Alloys)""",150.0,0.6,7.03,1.86,13.5,19.61,6.11,15.75,24.36,8.61,NSW,TAS,
Fiat 500e FWD 87 kW 42 kWh,100.0,0.1,9.09,1.9,1.5,17.27,15.77,10.5,21.0,10.5,WA,ACT,
Rolls-Royce Spectre Coupe,400.0,0.07,8.24,2.05,4.2,67.57,63.37,42.0,76.14,34.14,NT,NSW,
BYD DOLPHIN Dynamic,200.0,0.249,9.19,2.25,7.47,41.35,33.88,21.0,42.46,21.46,TAS,NT,ICE fetch failed; manual entry path simulated
"Cupra Born 77kWh 4 seat (20 Alloys)""",100.0,0.277,50.0,189.74,4.16,9487.0,9482.84,10.5,115.5,105.0,WA,TAS,ICE fetch failed; manual entry path simulated
Rolls-Royce Spectre Coupe,150.0,0.6,9.14,1.83,13.5,25.09,11.59,15.75,31.67,15.92,QLD,TAS,
Tesla Model 3 Long Range H5LDB,100.0,0.6,7.48,2.25,9.0,16.83,7.83,10.5,17.28,6.78,WA,SA,
MG MG4 51kWh EV RWD ,300.0,0.405,8.46,1.7,18.23,43.15,24.92,31.5,58.63,27.13,QLD,VIC,ICE fetch failed; manual entry path simulated
Rolls-Royce Spectre Black Badge Coupe,500.0,0.263,8.08,2.04,19.73,82.42,62.69,52.5,93.32,40.82,VIC,ACT,
Tesla Model 3 RWD H6LRB,200.0,0.4,0.5,89.99,12.0,89.99,77.99,21.0,2.31,-18.69,SA,VIC,ICE fetch failed; manual entry path simulated
Kia EV6 GT,150.0,0.07,9.99,2.29,1.58,34.32,32.74,15.75,34.62,18.87,VIC,SA,
Peugeot Partner  ePARTNER PRO LONG,500.0,0.384,9.7,1.83,28.8,88.75,59.95,52.5,112.03,59.53,TAS,WA,
Fiat 500e Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC,150.0,0.6,8.2,189.74,13.5,2333.8,2320.3,15.75,28.41,12.66,SA,WA,
Kia EV6 GT,400.0,0.07,7.8,1.98,4.2,61.78,57.58,42.0,72.07,30.07,NT,SA,
Volvo XC40 Recharge Twin,150.0,0.37,5.56,89.99,8.32,750.52,742.19,15.75,19.27,3.52,WA,TAS,
Audi Q8 Q8 e-tron quattro,200.0,0.308,7.44,0.01,9.24,0.15,-9.09,21.0,34.37,13.37,WA,ACT,
BYD SEAL PREMIUM,400.0,0.32,6.69,0.01,19.2,0.27,-18.93,42.0,61.82,19.82,NSW,NT,
MG MG4 64kWh EV RWD ,400.0,0.1,8.29,1.66,6.0,55.05,49.05,42.0,76.6,34.6,TAS,ACT,
Ford Mach-E Select LFP RWD,150.0,0.303,7.08,189.74,6.82,2015.04,2008.22,15.75,24.53,8.78,NT,QLD,
Rolls-Royce Spectre Black Badge Coupe,150.0,0.6,10.86,89.99,13.5,1465.94,1452.44,15.75,37.63,21.88,NSW,QLD,
BYD SEAL PERFORMANCE,500.0,0.1,8.11,0.01,7.5,0.41,-7.09,52.5,93.67,41.17,NSW,ACT,
Mercedes-Benz EQE Class EQE 300,500.0,0.421,8.47,189.74,31.57,8035.49,8003.91,52.5,97.83,45.33,VIC,WA,
BYD SEAL PERFORMANCE,200.0,0.6,9.41,1.9,18.0,35.76,17.76,21.0,43.47,22.47,WA,ACT,ICE fetch failed; manual entry path simulated
Lexus UX 300e,400.0,0.1,7.0,89.99,6.0,2519.72,2513.72,42.0,64.68,22.68,NT,VIC,ICE fetch failed; manual entry path simulated
Rolls-Royce Spectre Coupe,150.0,0.6,7.41,1.82,13.5,20.23,6.73,15.75,25.68,9.93,WA,SA,
Tesla Model 3 RWD H6LRB,200.0,0.274,8.97,1.9,8.22,34.09,25.87,21.0,41.44,20.44,NT,NT,
Volvo XC40 Recharge,150.0,0.6,10.23,189.74,13.5,2911.56,2898.06,15.75,35.45,19.7,TAS,ACT,
Tesla Model 3 Long Range H5LDB,200.0,0.6,11.07,1.98,18.0,43.84,25.84,21.0,51.14,30.14,NT,SA,ICE fetch failed; manual entry path simulated
Audi Q8 Q8 e-tron quattro Sportback,150.0,0.6,9.9,1.81,13.5,26.88,13.38,15.75,34.3,18.55,ACT,NT,
BMW 7 Series i7 M70 xDrive,100.0,0.262,999.0,1.89,3.93,1888.11,1884.18,10.5,2307.69,2297.19,TAS,NSW,ICE fetch failed; manual entry path simulated
"Cupra Born 77kWh 4 seat (20 Alloys)""",400.0,0.07,9.57,0.01,4.2,0.38,-3.82,42.0,88.43,46.43,SA,ACT,
Fiat 500e FWD 87 kW 42 kWh,300.0,0.1,8.49,1.73,4.5,44.06,39.56,31.5,58.84,27.34,QLD,QLD,
BMW 5 Series i5 M60 xDrive,500.0,0.07,50.0,2.09,5.25,522.5,517.25,52.5,577.5,525.0,SA,ACT,ICE fetch failed; manual entry path simulated
BMW 7 Series i7 M70 xDrive,150.0,0.07,7.97,2.21,1.58,26.42,24.85,15.75,27.62,11.87,ACT,NT,
Tesla Model 3 Long Range H5LDB,250.0,0.1,8.22,189.74,3.75,3899.16,3895.41,26.25,47.47,21.22,SA,QLD,
Rolls-Royce Spectre Black Badge Coupe,400.0,0.07,10.97,1.87,4.2,82.06,77.86,42.0,101.36,59.36,TAS,VIC,
Rolls-Royce Spectre Coupe,200.0,0.1,8.46,1.88,3.0,31.81,28.81,21.0,39.09,18.09,NT,VIC,
Ford Mach-E Premium 4P RWD,150.0,0.6,9.67,0.01,13.5,0.15,-13.35,15.75,33.51,17.76,NT,SA,
Peugeot Partner  ePARTNER PRO LONG,200.0,0.07,7.35,0.01,2.1,0.15,-1.95,21.0,33.96,12.96,NSW,NSW,
Lexus UX 300e,150.0,0.1,11.69,189.74,2.25,3327.09,3324.84,15.75,40.51,24.76,ACT,NT,
Peugeot 2008 e2008 GT,100.0,0.07,9.55,0.01,1.05,0.1,-0.95,10.5,22.06,11.56,ACT,NT,ICE fetch failed; manual entry path simulated
GWM Ora Extended Range,300.0,0.283,50.0,2.01,12.73,301.5,288.76,31.5,346.5,315.0,TAS,TAS,ICE fetch failed; manual entry path simulated
BMW X1 iX1 xDrive30,500.0,0.383,8.74,89.99,28.73,3932.56,3903.84,52.5,100.95,48.45,NSW,QLD,
Rolls-Royce Spectre Coupe,150.0,0.1,8.47,0.01,2.25,0.13,-2.12,15.75,29.35,13.6,SA,WA,
Kia EV9 GT-Line AWD,100.0,0.6,9.27,1.93,9.0,17.89,8.89,10.5,21.41,10.91,QLD,SA,ICE fetch failed; manual entry path simulated
Peugeot Partner  ePARTNER PRO LONG,250.0,0.357,7.76,1.96,13.39,38.02,24.64,26.25,44.81,18.56,VIC,VIC,
Audi Q8 Q8 e-tron quattro Sportback,150.0,0.367,8.93,1.94,8.26,25.99,17.73,15.75,30.94,15.19,SA,SA,
Volvo XC40 Recharge Twin,250.0,0.6,999.0,1.86,22.5,4645.35,4622.85,26.25,5769.23,5742.98,NSW,QLD,ICE fetch failed; manual entry path simulated
BMW 5 Series i5 M60 xDrive,250.0,0.402,2018.0,1.88,15.08,9484.6,9469.52,26.25,11653.95,11627.7,ACT,WA,ICE fetch failed; manual entry path simulated
Peugeot 2008 e2008 GT,250.0,0.322,7.63,1.94,12.08,37.01,24.93,26.25,44.06,17.81,SA,WA,
Audi Q8 Q8 e-tron quattro Sportback,200.0,0.305,8.53,189.74,9.15,3236.96,3227.81,21.0,39.41,18.41,VIC,WA,
Kia EV9 GT-Line AWD,500.0,0.1,11.19,2.16,7.5,120.85,113.35,52.5,129.24,76.74,TAS,WA,
Cupra Born Born 77kWh 5 seat,300.0,0.256,8.5,89.99,11.52,2294.75,2283.23,31.5,58.91,27.41,ACT,NT,
Volvo C40 Recharge Twin,100.0,0.07,11.31,89.99,1.05,1017.79,1016.74,10.5,26.13,15.63,NSW,NSW,
Fiat 500e Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC,400.0,0.285,8.82,189.74,17.1,6694.03,6676.93,42.0,81.5,39.5,VIC,TAS,
Lexus RZ 450e,400.0,0.326,8.58,1.88,19.56,64.52,44.96,42.0,79.28,37.28,QLD,WA,ICE fetch failed; manual entry path simulated
MG MG4 51kWh EV RWD ,200.0,0.432,9.6,2.05,12.96,39.36,26.4,21.0,44.35,23.35,QLD,SA,ICE fetch failed; manual entry path simulated
Audi Q8 Q8 e-tron quattro,200.0,0.6,7.21,1.83,18.0,26.39,8.39,21.0,33.31,12.31,NSW,TAS,
Kia EV9 Air RWD,250.0,0.6,7.1,2.01,22.5,35.68,13.18,26.25,41.0,14.75,TAS,SA,
Fiat 500e FWD 87 kW 42 kWh,150.0,0.1,11.07,2.1,2.25,34.87,32.62,15.75,38.36,22.61,SA,ACT,
Audi Q8 Q8 e-tron quattro Sportback,500.0,0.07,10.34,0.01,5.25,0.52,-4.73,52.5,119.43,66.93,WA,WA,
Fiat 500e FWD 87 kW 42 kWh,400.0,0.6,6.89,2.15,36.0,59.25,23.25,42.0,63.66,21.66,TAS,NSW,ICE fetch failed; manual entry path simulated
Volvo XC40 Recharge Twin,100.0,0.262,8.91,0.01,3.93,0.09,-3.84,10.5,20.58,10.08,VIC,ACT,
BYD SEAL PERFORMANCE,250.0,0.1,6.71,89.99,3.75,1509.58,1505.83,26.25,38.75,12.5,ACT,ACT,
GWM Ora Extended Range GT,200.0,0.268,10.65,189.74,8.04,4041.46,4033.42,21.0,49.2,28.2,WA,NSW,ICE fetch failed; manual entry path simulated
BYD SEAL PERFORMANCE,300.0,0.335,8.85,0.01,15.08,0.27,-14.81,31.5,61.33,29.83,WA,ACT,
BYD SEAL PREMIUM,100.0,0.365,8.59,189.74,5.47,1629.87,1624.39,10.5,19.84,9.34,SA,WA,
Volvo XC40 Recharge,300.0,0.363,9.43,89.99,16.34,2545.82,2529.48,31.5,65.35,33.85,TAS,TAS,
Rolls-Royce Spectre Black Badge Coupe,200.0,0.351,6.46,2.13,10.53,27.52,16.99,21.0,29.85,8.85,SA,WA,
Peugeot 2008 e2008 GT,300.0,0.07,8.25,89.99,3.15,2227.25,2224.1,31.5,57.17,25.67,TAS,QLD,
Rolls-Royce Spectre Coupe,100.0,0.6,999.0,1.89,9.0,1888.11,1879.11,10.5,2307.69,2297.19,SA,ACT,ICE fetch failed; manual entry path simulated
Ford Mach-E Premium LFP AWD,150.0,0.415,6.44,1.91,9.34,18.45,9.11,15.75,22.31,6.56,VIC,NSW,
BMW 5 Series i5 eDrive40,250.0,0.07,9.55,189.74,2.63,4530.04,4527.42,26.25,55.15,28.9,SA,QLD,
Audi Q8 Q8 e-tron quattro,400.0,0.35,9.25,0.01,21.0,0.37,-20.63,42.0,85.47,43.47,ACT,SA,
Mercedes-Benz EQE SUV EQE 300 SUV ,500.0,0.1,9.18,1.91,7.5,87.67,80.17,52.5,106.03,53.53,TAS,SA,
Rolls-Royce Spectre Black Badge Coupe,200.0,0.291,8.6,0.01,8.73,0.17,-8.56,21.0,39.73,18.73,TAS,TAS,
GWM Ora Extended Range,500.0,0.336,8.31,2.04,25.2,84.76,59.56,52.5,95.98,43.48,ACT,ACT,
Fiat 500e FWD 87 kW 42 kWh,250.0,0.291,0.5,2.21,10.91,2.76,-8.15,26.25,2.89,-23.36,NSW,QLD,ICE fetch failed; manual entry path simulated
BMW 7 Series i7 M70 xDrive,100.0,0.07,6.85,1.99,1.05,13.63,12.58,10.5,15.82,5.32,WA,QLD,
Audi Q8 Q8 e-tron quattro Sportback,250.0,0.07,8.67,89.99,2.63,1950.53,1947.91,26.25,50.07,23.82,VIC,QLD,
Ford Mach-E Premium 4P AWD,400.0,0.307,7.22,189.74,18.42,5479.69,5461.27,42.0,66.71,24.71,NSW,WA,
Tesla Model 3 RWD H6LRB,250.0,0.1,2018.0,2.01,3.75,10140.45,10136.7,26.25,11653.95,11627.7,WA,NSW,ICE fetch failed; manual entry path simulated
Lexus UX 300e,150.0,0.334,7.52,189.74,7.52,2140.27,2132.75,15.75,26.06,10.31,SA,QLD,
MG MG4 64kWh EV RWD ,250.0,0.315,0.5,0.01,11.81,0.01,-11.8,26.25,2.89,-23.36,QLD,WA,ICE fetch failed; manual entry path simulated
Mercedes-Benz EQS 500 4MATIC,250.0,0.308,8.03,89.99,11.55,1806.55,1795.0,26.25,46.37,20.12,ACT,VIC,ICE fetch failed; manual entry path simulated
Volvo XC40 Recharge Twin,100.0,0.252,8.88,0.01,3.78,0.09,-3.69,10.5,20.51,10.01,QLD,NSW,
Volvo XC40 Recharge Twin,150.0,0.329,7.83,1.71,7.4,20.08,12.68,15.75,27.13,11.38,NT,QLD,ICE fetch failed; manual entry path simulated
MG MG4 64kWh EV RWD ,250.0,0.6,999.0,89.99,22.5,224750.02,224727.52,26.25,5769.23,5742.98,WA,ACT,ICE fetch failed; manual entry path simulated
Tesla Model 3 RWD H6LRB,300.0,0.376,9.0,2.18,16.92,58.86,41.94,31.5,62.37,30.87,SA,SA,
Peugeot Partner  ePARTNER PRO LONG,100.0,0.6,8.16,189.74,9.0,1548.28,1539.28,10.5,18.85,8.35,SA,NSW,
Volvo XC40 Recharge Twin,400.0,0.1,999.0,2.1,6.0,8391.6,8385.6,42.0,9230.76,9188.76,ACT,ACT,ICE fetch failed; manual entry path simulated
Tesla Model 3 RWD H6LRB,400.0,0.6,8.88,1.85,36.0,65.71,29.71,42.0,82.05,40.05,QLD,NSW,
Mercedes-Benz EQE Class EQE53 AMG 4MATIC+,100.0,0.351,5.64,0.01,5.26,0.06,-5.21,10.5,13.03,2.53,SA,SA,
Peugeot Partner  ePARTNER PRO LONG,400.0,0.384,7.99,1.78,23.04,56.89,33.85,42.0,73.83,31.83,NSW,ACT,
BMW 7 Series i7 M70 xDrive,100.0,0.07,9.46,189.74,1.05,1794.94,1793.89,10.5,21.85,11.35,WA,NSW,ICE fetch failed; manual entry path simulated
BYD DOLPHIN PERFORMANCE,200.0,0.338,2018.0,2.13,10.14,8596.68,8586.54,21.0,9323.16,9302.16,ACT,ACT,ICE fetch failed; manual entry path simulated
