"model_release_year","make","model_release_version","model","variant","engine_displacement","engine_configuration","engine_induction","fwd_gears_no","transmission_type_description","side_door_no","seating_capacity","body_style","driving_wheels_no","fuel_type","co2_emissions_combined","co2_emissions_urban","co2_emissions_extra_urban","fuel_consumption_combined","fuel_consumption_urban","fuel_consumption_extra_urban","energy_consumption_whkm","electric_range_km","air_pollution_standard","stationary_noise_data","test_speed","is_current_model","model_end_year","fuel_life_cycle_co2","annual_tailpipe_co2","annual_fuel_cost"
"2017","Audi","","A6 Allroad","3.0 TDI quattro S-Tronic","3","6cyl","Turbo","7","Auto","4","5","Wagon","4","Diesel","158","172","149","6.1","6.6","5.7","","","Euro 6","70","2350","Yes","0","176","2.21","1366"
"2018","Mazda","","CX-8","AWD","2.2","4cyl","Turbo","6","Auto","4","7","SUV","4","Diesel","158","182","144","6","6.9","5.5","","","Euro 5","76","3375","Yes","0","173","2.21","1344"
"2017","Mazda","","CX-5","","2.2","4cyl","Turbo","6","Auto","4","5","SUV","4","Diesel","158","183","144","6","7","5.5","","","Euro 5","75","3375","Yes","0","173","2.21","1344"
"2024","Kia","2024","Sorento","S","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","158","197","136","6","7.5","5.2","","","Euro 5","77","2850","Yes","0","173","2.21","1344"
"2024","Kia","2024","Sorento","Sport","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","158","197","136","6","7.5","5.2","","","Euro 5","77","2850","Yes","0","173","2.21","1344"
"2024","Kia","2024","Sorento","Sport +","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","158","197","136","6","7.5","5.2","","","Euro 5","77","2850","Yes","0","173","2.21","1344"
"2024","Kia","2024","Sorento","GT-Line","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","158","197","136","6","7.5","5.2","","","Euro 5","77","2850","Yes","0","173","2.21","1344"
"2013","MINI","R61","Cooper D AWD","Paceman","2.0","4cyl","Normal","6","Auto","2","4","Coupe","2","Diesel","158","202","133","6","7.6","5","","","Euro 5","80.00","3000","No","2025","173","2.21","1344"
"2017","Renault","XZG","Koleos","","2","4cyl","Normal","7","CVT","4","5","SUV","4","Diesel","159","170","153","6.1","6.5","5.9","","","Euro 5","75","2813","Yes","0","176","2.23","1366"
"2017","BMW","G01","X3","xDrive30d","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","159","179","148","6","6.8","5.6","","","Euro 5","78","3000","Yes","0","173","2.23","1344"
"2020","Kia","2021","Sorento","S","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","159","193","140","6.1","7.4","5.3","","","Euro 5","77","2850","Yes","0","176","2.23","1366"
"2020","Kia","2021","Sorento","Sport","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","159","193","140","6.1","7.4","5.3","","","Euro 5","77","2850","Yes","0","176","2.23","1366"
"2020","Kia","2021","Sorento","Sport+","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","159","193","140","6.1","7.4","5.3","","","Euro 5","77","2850","Yes","0","176","2.23","1366"
"2020","Kia","2021","Sorento","GT-Line","2.2","4cyl","Turbo","8","Other","4","7","Wagon","4","Diesel","159","193","140","6.1","7.4","5.3","","","Euro 5","77","2850","Yes","0","176","2.23","1366"
"2017","Audi","","Q5","3.0 TDI quattro Tiptronic 19 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","160","184","146","6.1","7","5.6","","","Euro 6","70","2350","Yes","0","176","2.24","1366"
"2013","MINI","R61","Cooper SD AWD","Paceman","2.0","4cyl","Normal","6","Auto","2","4","Coupe","2","Diesel","160","204","134","6.1","7.7","5.1","","","Euro 5","79.00","3000","No","2025","176","2.24","1366"
"2016","Audi","","Q7","3.0 TDI quattro Tiptronic 160kW 21 Inch Wheel ","3","6cyl","Turbo","8","Auto","4","7","SUV","4","Diesel","161","175","155","6.2","6.6","5.9","","","Euro 6","68","2375","Yes","0","179","2.25","1389"
"2018","Mercedes-Benz","447N","Vito","116 SWB Van","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","161","189","148","6.1","7.2","5.6","","","Euro 6","79","2850","Yes","0","176","2.25","1366"
"2018","Mercedes-Benz","447N","Vito","119 SWB Van","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","161","189","148","6.1","7.2","5.6","","","Euro 6","79","2850","Yes","0","176","2.25","1366"
"2018","Mercedes-Benz","447N","Vito","119 LWB Van","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","161","189","148","6.1","7.2","5.6","","","Euro 6","79","2850","Yes","0","176","2.25","1366"
"2018","Mercedes-Benz","447N","Vito","116 LWB Van","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","161","189","148","6.1","7.2","5.6","","","Euro 6","79","2850","Yes","0","176","2.25","1366"
"2018","Mercedes-Benz","447N","Vito","119 MWB Van","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","161","189","148","6.1","7.2","5.6","","","Euro 6","79","2850","Yes","0","176","2.25","1366"
"2018","Mercedes-Benz","447N","Vito","116 MWB Van","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","161","189","148","6.1","7.2","5.6","","","Euro 6","79","2850","Yes","0","176","2.25","1366"
"2018","Mercedes-Benz","447N","Vito","116 MWB Van Sport","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","161","189","148","6.1","7.2","5.6","","","Euro 6","79","2850","Yes","0","176","2.25","1366"
"2018","Mercedes-Benz","447N","Vito","119 MWB Van Sport","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","161","189","148","6.1","7.2","5.6","","","Euro 6","79","2850","Yes","0","176","2.25","1366"
"2018","Mercedes-Benz","447N","Vito","114 SWB Van","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","163","192","150","6.2","7.3","5.7","","","Euro 6","78","2850","Yes","0","179","2.28","1389"
"2018","Mercedes-Benz","447N","Vito","114 MWB Van","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","163","192","150","6.2","7.3","5.7","","","Euro 6","78","2850","Yes","0","179","2.28","1389"
"2018","Mercedes-Benz","447N","Vito","114 LWB Van","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","163","192","150","6.2","7.3","5.7","","","Euro 6","78","2850","Yes","0","179","2.28","1389"
"2018","Mercedes-Benz","447N","Vito","114 MWB Van Sport","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","163","192","150","6.2","7.3","5.7","","","Euro 6","78","2850","Yes","0","179","2.28","1389"
"2025","Kia","2025","Sportage","S Diesel","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","163","200","142","6.3","7.7","5.4","","","Euro 5","74","3000","Yes","0","182","2.28","1411"
"2025","Kia","2025","Sportage","SX Diesel","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","163","200","142","6.3","7.7","5.4","","","Euro 5","74","3000","Yes","0","182","2.28","1411"
"2025","Kia","2025","Sportage","SX+ Diesel","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","163","200","142","6.3","7.7","5.4","","","Euro 5","74","3000","Yes","0","182","2.28","1411"
"2025","Kia","2025","Sportage","GT-Line Diesel","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","163","200","142","6.3","7.7","5.4","","","Euro 5","74","3000","Yes","0","182","2.28","1411"
"2021","Kia","2022","Sportage","2.0 CRDI","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","163","200","142","6.3","7.7","5.4","","","Euro 5","77","3000","No","2025","182","2.28","1411"
"2024","Hyundai","2025","Tucson","2.0 CRDi","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","163","200","142","6.3","7.7","5.4","","","Euro 5","79","3000","Yes","0","182","2.28","1411"
"2018","Mercedes-Benz","447N","Vito","111 MWB Van","1.6","4cyl","Turbo","6","Manual","4","3","Van","2","Diesel","163","202","137","6.2","7.7","5.2","","","Euro 5","84","2850","Yes","0","179","2.28","1389"
"2018","Mercedes-Benz","447N","Vito","111 SWB Van","1.6","4cyl","Turbo","6","Manual","4","3","Van","2","Diesel","163","202","137","6.2","7.7","5.2","","","Euro 5","84","2850","Yes","0","179","2.28","1389"
"2016","Renault","","Trafic Crew","103Kw","1.6","4cyl","Turbo","6","Manual","3","3","Van","2","Diesel","164","187","150","6.2","7.2","5.7","","","Euro 5","81","2625","Yes","0","179","2.3","1389"
"2015","Renault","","Trafic","103Kw","1.6","4cyl","Turbo","6","Manual","3","3","Van","2","Diesel","164","187","150","6.2","7.2","5.7","","","Euro 5","81.00","2625","Yes","0","179","2.3","1389"
"2015","Renault","","Trafic","66Kw","1.6","4cyl","Turbo","6","Manual","3","3","Van","2","Diesel","164","188","150","6.2","7.2","5.7","","","Euro 5","80","2625","Yes","0","179","2.3","1389"
"2025","Volkswagen","MY25","Multivan","Life TDI360","2","4cyl","Turbo","7","Auto","4","7","Van","2","Diesel","164","190","148","6.2","7.3","5.7","","","Euro 6","81","2813","Yes","0","179","2.3","1389"
"2025","Volkswagen","MY25","Multivan","Life LWB TDI360","2","4cyl","Turbo","7","Auto","4","7","Van","2","Diesel","164","190","148","6.2","7.3","5.7","","","Euro 6","81","2813","Yes","0","179","2.3","1389"
"2022","Peugeot","","Expert","EXPERT PRO SHORT 2.0 HDI AT8","2","4cyl","Turbo","8","Auto","4","3","Van","2","Diesel","165","189","150","6.3","7.2","5.8","","","Euro 5","85","3000","Yes","0","182","2.31","1411"
"2022","Peugeot","","Expert","EXPERT PRO LONG 2.0 HDI AT8","2","4cyl","Turbo","8","Auto","4","3","Van","2","Diesel","165","189","150","6.3","7.2","5.8","","","Euro 5","85","3000","Yes","0","182","2.31","1411"
"2017","Audi","","Q5","3.0 TDI quattro Tiptronic 20 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","165","189","151","6.3","7.2","5.8","","","Euro 6","70","2350","Yes","0","182","2.31","1411"
"2024","Ssangyong","C300 24MY","Korando","D16DT 4WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","4","Diesel","165","199","145","6.3","7.6","5.5","","","Euro 5","73","3000","Yes","0","182","2.31","1411"
"2022","Ssangyong","C300 23MY","Korando","D16DT 4WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","4","Diesel","165","199","145","6.3","7.6","5.5","","","Euro 5","77","3000","Yes","0","182","2.31","1411"
"2021","Ssangyong","C300 22MY","Korando","D16DT 4WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","4","Diesel","165","199","145","6.3","7.6","5.5","","","Euro 5","77","3000","Yes","0","182","2.31","1411"
"2020","Ssangyong","C300 21MY","Korando","D16DT 4WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","4","Diesel","165","199","145","6.3","7.6","5.5","","","Euro 5","77","3000","Yes","0","182","2.31","1411"
"2019","Ssangyong","C300 20MY","Korando","D16DT 4WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","4","Diesel","165","199","145","6.3","7.6","5.5","","","Euro 5","77","3000","Yes","0","182","2.31","1411"
"2018","Subaru","","Outback","2.0D ","2","4cyl","Turbo","1","CVT","4","5","Wagon","4","Diesel","165","200","145","6.3","7.7","5.5","","","Euro 6","74","2700","No","2025","182","2.31","1411"
"2018","Subaru","","Outback","2.0D Premium","2","4cyl","Turbo","1","CVT","4","5","Wagon","4","Diesel","165","200","145","6.3","7.7","5.5","","","Euro 6","74","2700","No","2025","182","2.31","1411"
"2016","Audi","","Q7","3.0 TDI quattro Tiptronic 21/22 Inch Wheel","3","6cyl","Turbo","8","Auto","4","7","SUV","4","Diesel","166","177","160","6.3","6.8","6.1","","","Euro 6","70","2375","Yes","0","182","2.32","1411"
"2015","Nissan","D23","NP300 Navara","4x2 Twin Turbo","2.3","4cyl","Normal","6","Manual","4","5","Utility","2","Diesel","166","187","154","6.3","7.1","5.8","","","Euro 5","81.00","2812","Yes","0","182","2.32","1411"
"2018","Mercedes-Benz","","V Class","Valente Sport","2.1","4cyl","Turbo","7","Auto","4","9","Wagon","2","Diesel","166","195","151","6.3","7.4","5.7","","","Euro 6","79","2850","Yes","0","182","2.32","1411"
"2018","Mercedes-Benz","","V Class","Marco Polo Activity","2.1","4cyl","Turbo","7","Auto","4","7","Wagon","2","Diesel","166","195","151","6.3","7.4","5.7","","","Euro 6","79","2850","Yes","0","182","2.32","1411"
"2018","Mercedes-Benz","","V Class","Valente ","2.1","4cyl","Turbo","7","Auto","4","8","Wagon","2","Diesel","166","195","151","6.3","7.4","5.7","","","Euro 6","79","2850","Yes","0","182","2.32","1411"
"2018","Mercedes-Benz","","V Class","V220 d","2.1","4cyl","Turbo","7","Auto","4","7","Wagon","2","Diesel","166","195","151","6.3","7.4","5.7","","","Euro 6","79","2850","Yes","0","182","2.32","1411"
"2018","Mercedes-Benz","447","Vito","119 MWB CrewCab Sport","2.1","4cyl","Turbo","7","Auto","4","6","Van","2","Diesel","166","195","151","6.3","7.4","5.7","","","Euro 6","79","2850","Yes","0","182","2.32","1411"
"2018","Mercedes-Benz","447N","Vito","111 LWB Van","1.6","4cyl","Turbo","6","Manual","4","3","Van","2","Diesel","166","205","143","6.3","7.8","5.4","","","Euro 5","84","2850","Yes","0","182","2.32","1411"
"2019","Peugeot","","Boxer","Manual Long","2","4cyl","Turbo","6","Manual","3","2","Van","2","Diesel","168","181","160","6.4","6.9","6.1","","","Euro 6","80","2813","Yes","0","185","2.35","1434"
"2024","Mercedes-Benz","","Vito","116 SWB Van FL2","2","4cyl","Turbo","9","Auto","4","2","Van","2","Diesel","168","194","153","6.4","7.4","5.8","","","Euro 6","77","3300","Yes","0","185","2.35","1434"
"2024","Mercedes-Benz","","Vito","116 SWB Van FL2","2","4cyl","Turbo","9","Auto","4","3","Van","2","Diesel","168","194","153","6.4","7.4","5.8","","","Euro 6","77","3300","Yes","0","185","2.35","1434"
"2019","Kia","2020","Sportage","SX","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","168","212","142","6.4","8","5.4","","","Euro 5","77","3000","Yes","0","185","2.35","1434"
"2019","Kia","2020","Sportage","SX+","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","168","212","142","6.4","8","5.4","","","Euro 5","77","3000","Yes","0","185","2.35","1434"
"2018","Ford","VN","Transit Custom","300S Low Roof","2","4cyl","Turbo","6","Manual","3","3","Van","2","Diesel","169","187","157","6.5","7.2","6.1","","","Euro 6","82","2625","Yes","0","187","2.37","1456"
"2021","BMW","X3 Series - G01","X3","xDrive30d","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","169","190","156","6.4","7.3","5.9","","","Euro 5","78","3000","Yes","0","185","2.37","1434"
"2019","Alpina","","XD3","X3D","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","169","191","157","6.4","7.3","6","","","Euro 6","78","3450","Yes","0","185","2.37","1434"
"2015","Nissan","D23","NP300 Navara","4x2 Single Turbo","2.3","4cyl","Normal","6","Manual","4","5","Utility","2","Diesel","169","194","155","6.4","7.3","5.9","","","Euro 5","80.00","2812","Yes","0","185","2.37","1434"
"2018","Mercedes-Benz","447","Vito","114 MWB CrewCab Sport","2.1","4cyl","Turbo","7","Auto","4","6","Van","2","Diesel","169","197","153","6.4","7.5","5.8","","","Euro 6","78","2850","Yes","0","185","2.37","1434"
"2018","Mercedes-Benz","","V Class","V250 d","2.1","4cyl","Turbo","7","Auto","4","8","Wagon","2","Diesel","169","197","153","6.4","7.5","5.8","","","Euro 6","79","2850","Yes","0","185","2.37","1434"
"2018","Mercedes-Benz","447N","Vito","119 MWB CrewCab","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","169","197","153","6.4","7.5","5.8","","","Euro 6","79","2850","Yes","0","185","2.37","1434"
"2018","Mercedes-Benz","447N","Vito","119 LWB CrewCab","2.1","4cyl","Turbo","7","Auto","4","3","Van","2","Diesel","169","197","153","6.4","7.5","5.8","","","Euro 6","79","2850","Yes","0","185","2.37","1434"
"2018","Mercedes-Benz","447N","Vito","119 MWB CrewCab Sport","2.1","4cyl","Turbo","7","Auto","4","5","Van","2","Diesel","169","197","153","6.4","7.5","5.8","","","Euro 6","79","2850","Yes","0","185","2.37","1434"
"2024","Mercedes-Benz","","Vito","114 MWB Van FL2","2","4cyl","Turbo","9","Auto","4","2","Van","2","Diesel","169","198","152","6.4","7.5","5.8","","","Euro 6","74","3300","Yes","0","185","2.37","1434"
"2024","Mercedes-Benz","","Vito","114 MWB Van FL2","2","4cyl","Turbo","9","Auto","4","3","Van","2","Diesel","169","198","152","6.4","7.5","5.8","","","Euro 6","74","3300","Yes","0","185","2.37","1434"
"2024","Mercedes-Benz","","Vito","114 LWB Van FL2","2","4cyl","Turbo","9","Auto","4","2","Van","2","Diesel","169","198","152","6.4","7.5","5.8","","","Euro 6","74","3300","Yes","0","185","2.37","1434"
"2024","Mercedes-Benz","","Vito","114 LWB Van FL2","2","4cyl","Turbo","9","Auto","4","3","Van","2","Diesel","169","198","152","6.4","7.5","5.8","","","Euro 6","74","3300","Yes","0","185","2.37","1434"
"2013","Ssangyong","","Korando","D20T AWD","2.0","4cyl","Turbo","6","Manual","4","5","Wagon","2","Diesel","169","207","146","6.4","7.9","5.5","","","Euro 5","74.00","3000","Yes","0","185","2.37","1434"
"2017","Suzuki","AZ","Swift","GL","1.2","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","106","134","90","4.6","5.8","3.9","","","Euro 5","74","3750","No","2025","112","1.48","1056"
"2017","Suzuki","","Ignis","GL","1.2","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","107","130","94","4.7","5.6","4.1","","","Euro 5","77","3750","Yes","0","115","1.5","1079"
"2017","Suzuki","AZ","Swift","GL","1.2","4cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","110","135","96","4.8","5.8","4.2","","","Euro 5","74","3750","No","2025","117","1.54","1102"
"2017","Suzuki","","Ignis","GL","1.2","4cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","114","133","103","4.9","5.7","4.4","","","Euro 5","77","3750","Yes","0","120","1.6","1125"
"2017","Suzuki","","Ignis","GLX","1.2","4cyl","Normal","1","CVT","4","4","Hatch","2","Petrol 91RON","114","133","103","4.9","5.7","4.4","","","Euro 5","77","3750","Yes","0","120","1.6","1125"
"2014","Mazda","","2","Maxx, Genki","1.5","4cyl","Normal","6","Auto","4","5","Hatch","2","Petrol 91RON","114","142","97","4.9","6.1","4.2","","","Euro 5","75.00","3750","Yes","0","120","1.6","1125"
"2020","Toyota","","Yaris","","1.5","3cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","114","142","97","4.9","6.1","4.2","","","Euro 5","78","3750","Yes","0","120","1.6","1125"
"2013","Ford","WZ","Fiesta","Sport","1.0","3cyl","Turbo","5","Manual","4","5","Sedan","2","Petrol 91RON","115","147","96","4.9","6.3","4.1","","","Euro 5","73.00","3750","Yes","0","120","1.61","1125"
"2020","Kia","2021","Picanto","S","1.2","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","117","147","99","5","6.3","4.2","","","Euro 5","76","3750","Yes","0","122","1.64","1148"
"2020","Kia","2021","Picanto","GT-Line","1.2","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","117","147","99","5","6.3","4.2","","","Euro 5","76","3750","Yes","0","122","1.64","1148"
"2016","Suzuki","","Baleno","GL","1.4","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","118","145","102","5.1","6.3","4.4","","","Euro 5","77","3750","No","2025","125","1.65","1171"
"2014","Mazda","","2","Maxx, Genki","1.5","4cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","121","153","102","5.2","6.6","4.4","","","Euro 5","75.00","3750","Yes","0","127","1.69","1194"
"2020","Kia","2021","Picanto","GT","1","3cyl","Turbo","5","Manual","4","5","Hatch","2","Petrol 91RON","122","157","102","5.2","6.8","4.4","","","Euro 5","72","3375","Yes","0","127","1.71","1194"
"2020","Kia","2021","Rio","GT-Line","1","3cyl","Turbo","7","Other","4","5","Hatch","2","Petrol 91RON","124","145","111","5.3","6.3","4.8","","","Euro 5","74","4500","Yes","0","129","1.74","1217"
"2020","Toyota","","Yaris Cross","","1.5","3cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","124","150","109","5.4","6.6","4.8","","","Euro 5","76","3750","Yes","0","132","1.74","1240"
"2023","Honda","","CR-V","e:HEV RS","2","4cyl","Normal","1","Auto","4","5","SUV","2","Petrol 91RON","125","112","133","5.5","4.9","5.8","","","Euro 5","71","3750","Yes","0","134","1.75","1263"
"2024","Hyundai","2025","i30","1.5 T-GDI","1.5","4cyl","Turbo","6","Manual","4","5","Hatch","2","Petrol 91RON","125","143","115","5.5","6.4","5.1","","","Euro 6","77","3750","Yes","0","134","1.75","1263"
"2020","Kia","2021","Stonic","GT-Line","1","3cyl","Turbo","7","Other","4","5","Hatch","2","Petrol 91RON","125","147","112","5.4","6.4","4.9","","","Euro 5","74","4500","Yes","0","132","1.75","1240"
"2023","Kia","","Picanto","GT-Line MT","1.2","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","125","157","107","5.4","6.8","4.6","","","Euro 5","76","3750","Yes","0","132","1.75","1240"
"2023","Kia","","Picanto","Sport MT","1.2","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","125","157","107","5.4","6.8","4.6","","","Euro 5","76","3750","Yes","0","132","1.75","1240"
"2024","Hyundai","2025","i30","1.5 T-GDI","1.5","4cyl","Turbo","7","Auto","4","5","Hatch","2","Petrol 91RON","126","150","113","5.6","6.6","5","","","Euro 6","76","3750","Yes","0","137","1.76","1286"
"2019","Suzuki","","Baleno","GL / GLX","1.4","4cyl","Normal","4","Auto","4","5","Hatch","2","Petrol 91RON","126","156","109","5.4","6.7","4.7","","","Euro 5","73","3750","No","2025","132","1.76","1240"
"2020","Toyota","","Yaris","","1.5","3cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","126","162","105","5.4","7","4.5","","","Euro 5","77","3750","Yes","0","132","1.76","1240"
"2014","Mazda","","2","Neo","1.5","4cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","126","167","102","5.4","7.2","4.4","","","Euro 5","75.00","3750","Yes","0","132","1.76","1240"
"2016","Ford","WZ","Fiesta","Sport","1","3cyl","Turbo","6","Auto","4","5","Sedan","2","Petrol 91RON","126","170","100","5.4","7.3","4.3","","","Euro 5","73","3750","Yes","0","132","1.76","1240"
"2014","Mazda","","2","Neo","1.5","4cyl","Normal","6","Auto","4","5","Hatch","2","Petrol 91RON","128","169","104","5.5","7.3","4.5","","","Euro 5","75.00","3750","Yes","0","134","1.79","1263"
"2020","Kia","2021","Rio","S","1.4","4cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","129","166","108","5.6","7.2","4.6","","","Euro 5","79","4500","Yes","0","137","1.81","1286"
"2020","Kia","2021","Rio","Sport","1.4","4cyl","Normal","6","Manual","4","5","Hatch","2","Petrol 91RON","129","166","108","5.6","7.2","4.6","","","Euro 5","79","4500","Yes","0","137","1.81","1286"
"2013","Ford","BK","Ecosport","Titanium","1.0","3cyl","Turbo","5","Manual","4","5","Wagon","2","Petrol 91RON","131","154","117","5.7","6.7","5.1","","","Euro 5","73.00","3750","Yes","0","139","1.83","1309"
"2013","Ford","BK","Ecosport","Trend","1.0","3cyl","Turbo","5","Manual","4","5","Wagon","2","Petrol 91RON","131","154","117","5.7","6.7","5.1","","","Euro 5","73.00","3750","Yes","0","139","1.83","1309"
"2018","Lexus","","UX200","","2","4cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","132","159","116","5.8","7","5.1","","","Euro 5","77","3750","Yes","0","142","1.85","1332"
"2017","Honda","","City","VTi","1.5","4cyl","Normal","1","CVT","4","5","Sedan","2","Petrol 91RON","132","173","109","5.8","7.6","4.8","","","Euro 5","73","3750","Yes","0","142","1.85","1332"
"2020","Kia","2021","Rio","GT-Line","1","3cyl","Turbo","7","Other","4","5","Hatch","2","Petrol 91RON","132","269","111","5.7","7.3","4.8","","","Euro 5","74","4500","Yes","0","139","1.85","1309"
"2017","Honda","","City","VTiL","1.5","4cyl","Normal","1","CVT","4","5","Sedan","2","Petrol 91RON","133","171","111","5.9","7.5","4.9","","","Euro 5","73","3750","Yes","0","144","1.86","1355"
"2024","Renault","2024","Arkana","","1.3","4cyl","Turbo","7","Auto","4","5","Hatch","2","Petrol 91RON","133","172","111","5.9","7.6","4.9","","","Euro 5","79","3750","Yes","0","144","1.86","1355"
"2025","Nissan","J12","Qashqai","Ti, Ti-L - ICE","1.3","4cyl","Turbo","1","CVT","4","5","Wagon","2","Petrol 91RON","134","164","117","5.8","7.1","5.1","","","Euro 6","74","3750","Yes","0","142","1.88","1332"
"2017","Ford","BL","Ecosport","Trend","1","3cyl","Turbo","6","Manual","4","5","SUV","2","Petrol 91RON","134","164","117","5.8","7.1","5.1","","","Euro 5","74","3750","Yes","0","142","1.88","1332"
"2015","Ford","LZ","Focus","Trend","1.5","4cyl","Turbo","6","Manual","4","5","Hatch","2","Petrol 91RON","134","174","111","5.8","7.6","4.8","","","Euro 5","78.00","3750","Yes","0","142","1.88","1332"
"2015","Ford","LZ","Focus","Sport","1.5","4cyl","Turbo","6","Manual","4","5","Hatch","2","Petrol 91RON","134","174","111","5.8","7.6","4.8","","","Euro 5","78.00","3750","Yes","0","142","1.88","1332"
"2020","Kia","2021","Picanto","S","1.2","4cyl","Normal","4","Auto","4","5","Hatch","2","Petrol 91RON","134","180","107","5.8","7.9","4.6","","","Euro 5","74","3750","Yes","0","142","1.88","1332"
"2020","Kia","2021","Picanto","GT-Line","1.2","4cyl","Normal","4","Auto","4","5","Hatch","2","Petrol 91RON","134","180","107","5.8","7.9","4.6","","","Euro 5","74","3750","Yes","0","142","1.88","1332"
"2014","Honda","","Jazz","VTi","1.5","4cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","135","167","117","5.8","7.2","5","","","Euro 5","73.00","3750","Yes","0","142","1.89","1332"
"2014","Honda","","Jazz","VTiS","1.5","4cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","135","167","117","5.8","7.2","5","","","Euro 5","73.00","3750","Yes","0","142","1.89","1332"
"2014","Honda","","Jazz","VTiL","1.5","4cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","135","167","117","5.8","7.2","5","","","Euro 5","73.00","3750","Yes","0","142","1.89","1332"
"2017","Honda","","City","VTi","1.5","4cyl","Normal","5","Manual","4","5","Sedan","2","Petrol 91RON","135","175","112","5.9","7.7","4.9","","","Euro 5","75","3750","Yes","0","144","1.89","1355"
"2019","Suzuki","","Vitara","","1.6","4cyl","Normal","5","Manual","4","5","SUV","2","Petrol 91RON","136","165","120","5.8","7.1","5.1","","","Euro 5","78","3750","Yes","0","142","1.9","1332"
"2022","Toyota","","Corolla Cross","2.0L Petrol","2","4cyl","Normal","1","CVT","4","5","Hatch","2","Petrol 91RON","136","169","116","6","7.4","5.1","","","Euro 5","81","3750","Yes","0","147","1.9","1378"
"2016","MG","","MG3","1.5 MT","1.5","4cyl","Normal","5","Manual","4","5","Hatch","2","Petrol 91RON","136","173","114","5.8","7.5","4.9","","","Euro 5","78","3750","Yes","0","142","1.9","1332"
"2021","Toyota","","RAV4","GX/GXL/CRUISER","2","4cyl","Normal","1","CVT","4","5","SUV","2","Petrol 91RON","137","162","123","6","7.1","5.4","","","Euro 5","73","3750","Yes","0","147","1.92","1378"
